text,intent,response
['GSB eğitimcileri kimlerdir?'],show_egitmenler,GSB eğitimcileri hakkında bilgi almak için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/egitim/egitmenler/) tıklayabilirsiniz.
['GSB eğitimcileri kimlerdir?'],show_egitmenler,GSB eğitimcileri hakkında bilgi almak için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/egitim/egitmenler/) tıklayabilirsiniz.
GSB eğitimcileri kimlerdir? (Lütfen ayrıntılı bilgi ver.),show_egitmenler,GSB eğitimcileri hakkında bilgi almak için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/egitim/egitmenler/) tıklayabilirsiniz.
GSB eğitimcileri kimlerdir?,show_egitmenler,GSB eğitimcileri hakkında bilgi almak için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/egitim/egitmenler/) tıklayabilirsiniz.
['KYK yurt asansör takip sistemine nasıl erişebilirim?'],show_yurt_asansor_takip,KYK yurt asansör takip sistemine erişmek için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/yurt/yurtAsansorTakip/) tıklayabilirsiniz.
['yurt KYK asansör sistemine takip erişebilirim nasıl?'],show_yurt_asansor_takip,KYK yurt asansör takip sistemine erişmek için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/yurt/yurtAsansorTakip/) tıklayabilirsiniz.
KYK yurt asansör takip sistemine nasıl erişebilirim? (Lütfen ayrıntılı bilgi ver.),show_yurt_asansor_takip,KYK yurt asansör takip sistemine erişmek için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/yurt/yurtAsansorTakip/) tıklayabilirsiniz.
KYK yurt asansör takip sistemine erişebilirim?,show_yurt_asansor_takip,KYK yurt asansör takip sistemine erişmek için <a href=buraya target='_blank'>Link</a>(https://biz.gsb.gov.tr/page/yurt/yurtAsansorTakip/) tıklayabilirsiniz.
Merhaba, greeting,Merhaba nasıl yardımcı olabilirim?
hello, greeting,Hello how can I assist you?
hi, greeting,Hi there! What can I do for you?
